Продукт,"Жиры, г","Белки, г","Углеводы, г","Калорийность, Ккал"
Компот из крыжовника и черной смородины,"0,1","0,3","13,9","58,0"
"Компот из персиков, консервы","0,0","0,3","21,6","88,0"
"Компот из яблок, консервы","0,2","0,2","22,3","93,0"
Компот персиковый,"0,0","0,2","21,8","88,0"
Компот черешневый,"0,1","0,2","14,0","58,0"
Компот яблочный,"0,1","0,1","13,6","55,0"
Компот вишневый,"0,1","0,2","13,8","57,0"
Компот грушевый,"0,1","0,1","13,4","55,0"
Компот из айвы,"0,1","0,1","13,7","56,0"
"Компот из айвы, консервы","0,3","0,4","19,7","82,0"
"Компот из вишни, консервы","0,3","0,6","23,7","101,0"
"Компот из груш, консервы","0,2","0,2","18,1","74,0"
Коньяк ординарный «три звездочки»,"0,0","0,0","1,5","239,0"
Кофе жареный в зернах,"14,4","13,9","29,5","331,0"
Кофе на сгущенном молоке,"0,9","0,7","10,9","55,0"
Кофе на молоке,"1,0","0,7","11,2","58,0"
Кофе растворимый черный,"0,0","0,0","0,0","1,0"
Кофе со сливками и ликером,"16,0","3,0","21,0","327,0"
Кофе черный (без сахара),"0,5","0,2","0,2","7,0"
Кофе эспрессо,"0,0","0,0","0,0","2,0"
Кофе эспрессо без кофеина,"0,0","0,0","0,0","0,0"
Ликер вишневый,"0,0","0,0","40,0","299,0"
Наливка «Сливянка»,"0,0","0,0","28,0","215,0"
Напиток апельсиновый,"0,0","0,1","13,0","53,0"
Напиток клюквенный,"0,0","0,1","12,4","51,0"
Напиток яблочный,"0,1","0,1","13,2","54,0"
Напиток Coca-cola классический,"0,0","0,0","12,0","44,0"
Напиток из плодов шиповника,"0,1","0,2","11,9","50,0"
Напиток на плодово-ягодных настоях,"0,0","0,0","9,5","46,0"
Напиток на цитрусовых настоях,"0,0","0,0","7,5","33,0"
"Напиток на эссенциях (Coca-Cola, Pepsi, «Байкал» и др,)","0,0","0,0","8,7","38,0"
"Напиток яблочно­ морковный, консервы","0,0","0,3","15,5","68,0"
"Напиток яблочно­абрикосовый, консервы","0,0","0,2","14,0","58,0"
"Напиток яблочно­виноградный, консервы","0,0","0,3","12,3","52,0"
Настойка горькая «Русский сувенир»,"0,0","0,0","6,4","248,0"
Пиво светлое,"0,0","0,0","2,0","29,0"
"Пиво светлое, с долей сухих в-в в исходном сусле 11%","0,0","0,3","4,6","42,0"
"Пиво светлое, с долей сухих в-в в исходном сусле 20%","0,0","0,4","7,6","75,0"
Пиво темное,"0,0","0,0","4,0","43,0"
"Пиво темное, с долей сухих в-в в исходном сусле 13%","0,0","0,3","5,7","48,0"
"Пиво темное, с долей сухих в-в в исходном сусле 20%","0,0","0,4","8,7","74,0"
Сладкий вермут,"0,0","0,2","13,7","160,0"
Сок абрикосовый,"0,0","0,5","12,7","55,0"
Сок айвовый,"0,1","0,5","11,2","51,0"
Сок ананасовый,"0,1","0,3","11,8","52,0"
Сок ананасовый без сахара,"0,0","0,0","13,0","53,0"
Сок апельсиновый,"0,1","0,7","13,2","60,0"
Сок виноградный,"0,2","0,3","16,3","70,0"
Сок вишневый,"0,2","0,7","11,4","51,0"
Сок гранатовый,"0,1","0,3","14,2","56,0"
Сок грейпфрутовый,"0,1","0,3","7,9","38,0"
Сок грейпфрутовый белый без сахара,"0,0","0,0","9,0","39,0"
Сок грейпфрутовый белый с сахаром,"0,0","1,0","11,0","46,0"
Сок грейпфрутовый розовый без сахара,"0,0","0,0","9,0","39,0"
Сок из смеси овощей,"0,0","1,0","5,0","19,0"
Сок клюквенный без сахара,"0,0","0,0","12,0","46,0"
Сок лимонный,"0,0","0,6","3,9","33,0"
Сок лимонный без сахара,"0,0","0,0","9,0","25,0"
Сок мандариновый,"0,0","0,8","9,8","45,0"
Сок морковный,"0,1","1,1","12,6","56,0"
Сок персиковый,"0,0","0,3","16,5","68,0"
Сок свекольный,"0,0","1,0","14,1","61,0"
Сок сливовый,"0,1","0,3","15,2","68,0"
Сок томатный,"0,1","1,0","2,9","18,0"
Сок томатный с солью,"0,0","1,0","4,0","17,0"
Сок черничный,"1,0","0,0","8,0","38,0"
Сок черноплодно­рябиновый,"0,1","0,1","11,4","50,0"
Сок черносмородиновый,"0,0","0,5","7,3","41,0"
Сок шиповниковый,"0,2","0,1","16,1","67,0"
Сок яблочный,"0,1","0,5","10,1","46,0"
Холодный чай Lipton с лимоном,"0,0","0,0","9,0","35,0"
Холодный чай Nestea с лимоном,"0,0","0,0","9,0","36,0"
Чай ромашковый,"0,0","0,0","0,0","1,0"
Чай с лимоном,"0,0","0,1","6,8","28,0"
Чай с молоком,"0,8","0,7","8,2","43,0"
Чай с сахаром,"0,0","0,1","7,0","28,0"
Чай травяной,"0,0","0,0","0,0","1,0"
"Чай черный без сахара, лимона и молока","0,0","0,0","1,0","1,0"
"Яблоки в сиропе, консервы","0,1","0,2","11,5","48,0"
Авокадо,"15,0","2,0","9,0","160,0"
Базилик,"0,0","3,0","3,0","23,0"
Баклажаны,"0,1","1,2","4,5","24,0"
"Баклажаны, фаршированные овощами","4,5","2,9","7,4","83,0"
Белокочанная капуста,"0,1","1,8","4,7","28,0"
Борщ,"1,0","0,8","4,1","29,0"
Борщ из свежей капусты и картофеля,"1,1","1,0","5,4","36,0"
Борщ летний,"1,2","1,1","5,7","38,0"
Борщ с картофелем,"1,1","1,1","6,8","42,0"
Борщ украинский,"2,2","1,1","6,5","50,0"
Брокколи,"0,4","2,8","6,6","34,0"
Брокколи смесь Hortex,"0,3","1,9","3,1","23,0"
Брюква,"0,1","1,2","7,7","37,0"
Брюква припущенная,"1,6","1,3","8,4","54,0"
Брюссельская,"0,3","4,8","3,1","35,0"
Брюссельская капуста,"0,3","3,4","8,9","43,0"
Ватрушки картофельные,"7,6","6,2","17,7","165,0"
Вешенки,"0,0","3,0","6,0","43,0"
Голубцы овощные,"5,2","2,2","9,7","95,0"
Грибы белые,"1,7","3,7","1,1","34,0"
Грибы белые сушеные,"14,3","30,3","9,0","286,0"
Грибы жареные (сушеные),"24,4","11,3","1,2","270,0"
Грибы жареные в сметанном соусе,"14,5","6,7","3,5","172,0"
Грибы жареные с картофелем,"5,2","3,9","12,7","114,0"
Грибы лисички,"1,0","1,5","1,0","19,0"
Грибы опята,"1,2","2,2","0,5","22,0"
Грибы подберезовики,"0,8","2,1","1,2","20,0"
Грибы подосиновики,"0,5","3,3","1,2","22,0"
Грибы сыроежки,"0,7","1,7","1,5","19,0"
Грибы шампиньоны,"1,0","4,3","0,1","27,0"
"Грибы, запеченные в сметанном соусе","16,6","6,5","3,2","188,0"
"Грибы, тушенные с картофелем","6,4","4,0","10,7","117,0"
Драники картофельные,"4,5","2,7","18,6","127,0"
Запеканка капустная,"5,2","3,1","13,5","114,0"
Запеканка из тыквы,"6,1","4,1","16,3","137,0"
Запеканка картофельная с овощами,"5,9","3,0","17,5","136,0"
Запеканка морковная,"5,0","2,7","17,8","128,0"
Зразы картофельные,"6,4","2,8","20,3","152,0"
"Икра из баклажанов, консервы","13,3","1,7","5,1","148,0"
"Икра из кабачков, консервы","8,9","1,9","7,7","119,0"
Икра кабачковая,"4,7","1,2","7,7","78,0"
Икра свекольная,"6,8","2,3","11,7","119,0"
Имбирь свежий,"1,0","2,0","18,0","80,0"
Кабачки,"0,3","0,6","4,6","24,0"
Кабачки жареные,"5,9","1,1","7,5","88,0"
Кабачки запеченные,"10,0","2,7","9,7","140,0"
Кабачки припущенные,"10,5","2,3","6,3","130,0"
Капуста квашеная,"0,1","1,8","3,0","23,0"
Капуста жареная,"2,8","1,8","4,2","50,0"
Капуста запеченная,"3,3","2,0","9,2","75,0"
Капуста цветная жареная,"3,1","1,7","3,0","47,0"
Капуста цветная отварная,"0,2","1,7","3,4","22,0"
Картофель,"0,3","6,6","71,6","317,0"
"Картофель, жаренный брусочками","9,6","2,8","23,5","192,0"
"Картофель, жаренный ломтиками (из отварного)","8,6","2,3","18,6","161,0"
"Картофель, тушенный с грибами","14,5","4,7","19,5","228,0"
"Картофель, запеченный в сметанном соусе","5,3","2,5","13,8","114,0"
Каша из тыквы,"1,7","2,1","15,7","87,0"
Китайская капуста,"0,2","1,5","2,2","13,0"
Кольраби,"0,1","2,8","7,9","44,0"
Котлеты капустные,"8,2","4,2","15,3","153,0"
Котлеты картофельные,"6,9","2,8","16,2","139,0"
Котлеты морковные,"6,7","3,4","19,2","152,0"
Котлеты свекольные,"8,1","4,1","24,1","187,0"
Краснокочанная,"0,2","0,8","5,1","26,0"
Краснокочанная капуста,"0,2","1,4","7,4","31,0"
Кресс-салат,"0,1","2,3","1,3","11,0"
Кукуруза сладкая,"1,0","3,0","19,0","86,0"
Латук,"0,1","0,9","3,0","14,0"
Лук жареный,"13,5","4,5","27,4","251,0"
Лук зеленый (перо),"0,1","1,3","3,2","20,0"
Лук маринованный,"4,7","1,2","7,6","79,0"
Лук порей,"0,2","2,0","6,3","36,0"
Лук репка,"0,2","1,4","8,2","41,0"
Луковичный флорентийский фенхель,"0,2","0,7","3,0","16,0"
Майоран сушеный,"7,0","13,0","61,0","271,0"
Мангольд,"0,2","1,8","3,7","19,0"
Морковь,"0,1","1,3","6,9","35,0"
Морковь отварная,"0,1","1,3","6,4","33,0"
Морковь припущенная,"1,6","1,4","7,7","52,0"
Морковь тушеная с рисом,"5,0","1,8","17,2","122,0"
Морская капуста,"0,2","0,9","0,0","5,0"
Огурцы (грунтовые),"0,1","0,8","2,5","14,0"
Огурцы (парниковые),"0,1","0,7","1,9","11,0"
Огурцы соленые,"0,1","0,8","1,7","13,0"
Окрошка овощная,"0,8","0,9","6,8","39,0"
Оладьи из тыквы,"7,0","4,0","19,8","158,0"
Пастернак (корень),"0,5","1,4","9,2","47,0"
Патиссон,"0,1","0,9","8,6","34,0"
Патиссон,"0,0","1,0","3,0","16,0"
Перец сладкий,"0,1","1,3","4,9","26,0"
"Перец, фаршированный овощами","5,9","1,5","10,1","100,0"
Петрушка,"0,4","3,7","7,6","49,0"
Петрушка (корень),"0,6","1,5","10,1","51,0"
Печеное таро,"0,3","1,9","34,1","144,0"
Пирожки картофельные с морковью,"4,2","2,4","18,9","124,0"
Помидоры,"0,0","0,6","4,2","20,0"
"Помидоры без кожицы, консервы","0,0","0,5","2,3","12,0"
Помидоры жареные,"4,7","1,8","5,1","73,0"
"Помидоры с кожицей, консервы","0,1","1,1","3,5","20,0"
"Помидоры, фаршированные с рисом и морковью","4,9","2,0","9,3","91,0"
"Помидоры, фаршированные яйцом и луком","6,2","2,9","3,5","83,0"
Портобелло,"0,0","3,0","5,0","26,0"
Пудинг из тыквы,"3,2","3,0","12,3","92,0"
Пудинг морковный,"4,1","3,0","14,0","106,0"
Пюре из моркови,"5,6","1,9","8,1","90,0"
Пюре из тыквы,"6,2","1,7","6,3","88,0"
Пюре картофельное,"0,8","2,1","14,7","75,0"
Рагу овощное,"4,5","1,9","10,6","91,0"
Рассольник домашний,"1,0","1,0","5,8","36,0"
Ревень,"0,1","0,7","2,5","16,0"
Редис,"0,1","1,2","3,4","20,0"
Редька с маслом,"7,0","1,7","6,4","96,0"
Редька черная,"0,2","1,9","6,7","36,0"
Репа,"0,1","1,5","6,2","32,0"
Репа припущенная,"1,5","1,6","6,3","45,0"
Салат,"3,2","1,7","8,6","71,0"
Свекла,"0,1","1,5","8,8","42,0"
Свекла отварная,"0,1","1,8","9,8","48,0"
Свекла тушеная,"3,0","1,6","10,3","75,0"
"Свекла, тушенная с яблоками","3,9","1,3","10,7","84,0"
Свекольник холодный,"0,2","0,8","6,1","30,0"
Сельдерей,"0,1","0,9","2,1","13,0"
Сельдерей (корень),"0,3","1,3","6,5","34,0"
Сельдерей (стебли),"0,0","1,0","9,0","42,0"
Соленая окра,"0,1","1,7","6,1","29,0"
Солянка грибная,"1,2","0,5","1,3","18,0"
Соус томатный острый,"0,0","2,5","21,2","99,0"
Спаржа,"0,1","1,9","3,1","21,0"
Суп картофельный,"1,2","1,1","7,8","45,0"
Суп картофельный с перловой крупой,"1,1","1,0","6,5","37,0"
Суп-пюре из шпината,"2,0","1,9","4,0","42,0"
Суп-пюре из картофеля,"2,0","1,6","8,3","58,0"
Суп-пюре из моркови,"1,8","1,2","4,5","39,0"
Суфле морковное,"12,9","6,5","11,3","189,0"
"Томатная паста, консервы","0,0","4,8","19,0","102,0"
"Томатное пюре, консервы","0,0","3,6","11,8","66,0"
Томаты (грунтовые),"0,2","1,1","3,8","24,0"
Топинамбур,"0,1","2,1","12,8","61,0"
Турнепс,"0,0","1,0","6,0","28,0"
Тыква,"0,1","1,0","4,4","22,0"
Тыква жареная,"5,7","1,7","6,9","86,0"
Тыква маринованная,"0,1","0,6","8,9","42,0"
Тыква отварная,"0,1","1,2","4,9","26,0"
Тыква припущенная,"1,7","1,2","4,8","40,0"
Укроп,"0,5","2,5","6,3","40,0"
Хрен,"0,4","3,2","10,5","59,0"
Цветная капуста,"0,3","2,5","4,2","30,0"
Цикорий,"0,3","1,4","3,8","19,0"
Цуккини,"0,0","1,0","3,0","16,0"
Чеснок,"0,5","6,5","29,9","149,0"
Шиитаке сушеные,"1,0","10,0","75,0","296,0"
Шницель из капусты,"6,4","3,4","11,6","118,0"
Шпинат,"0,3","2,9","2,0","23,0"
"Шпинат-пюре, консервы","0,1","2,0","2,0","16,0"
Щавель,"0,3","1,5","2,9","22,0"
Щи из квашеной капусты,"1,0","0,8","1,5","19,0"
Щи из свежей капусты,"1,1","0,9","2,5","24,0"
Щи из щавеля,"3,5","2,3","1,8","48,0"
Щи суточные,"1,0","0,9","1,5","19,0"
Горчица столовая,"5,3","9,9","12,7","143,0"
Дрожжи прессованные,"2,7","12,7","8,5","109,0"
Желатин,"0,4","87,2","0,7","355,0"
Заправка для салата,"23,3","0,0","4,8","235,0"
Маринад овощной без томата,"9,1","1,2","10,5","134,0"
Отруби пшеничные,"3,8","16,0","16,6","165,0"
Порошок горчичный,"11,1","37,1","32,6","378,0"
Соус белый основной,"4,1","1,0","3,8","56,0"
Соус грибной,"6,2","1,2","4,8","82,0"
Соус клюквенный,"0,0","0,0","12,6","51,0"
Соус красный основной,"2,0","1,1","6,2","48,0"
Соус луковый,"4,8","1,3","6,1","75,0"
Соус майонез со сметаной,"31,9","2,8","3,3","312,0"
Соус молочный,"5,2","2,0","7,1","84,0"
Соус польский,"6,1","2,6","3,0","78,0"
Соус с хреном,"0,1","0,7","4,2","27,0"
Соус сметанный,"5,2","1,9","5,7","78,0"
Соус томатный,"4,5","1,7","7,8","80,0"
Соус черносмородиновый,"0,1","0,3","67,6","275,0"
Балык осетровый холодного копчения,"12,5","20,4","0,0","194,0"
Бутербод с соленой горбушей,"2,7","6,7","14,8","110,0"
Бутерброд с килькой и яйцом,"6,9","7,1","15,2","151,0"
Бутерброд с сельдью,"6,7","5,8","15,1","144,0"
Бутерброд с зернистой икрой кеты,"3,9","5,5","15,0","117,0"
Бутерброд с икрой осетровой зернистой,"3,5","5,2","15,0","112,0"
Вобла,"2,8","18,0","0,0","95,0"
Вобла холодного копчения,"6,3","31,1","0,0","181,0"
Галки из трески,"1,1","12,0","7,3","87,0"
Горбуша,"6,5","20,5","0,0","140,0"
"Горбуша в томатном соусе, консервы","6,0","15,0","4,1","130,0"
"Горбуша натуральная, консервы","5,8","20,9","0,0","136,0"
Горбуша отварная,"21,8","14,4","0,0","254,0"
Каракатица свежая,"1,0","16,0","1,0","79,0"
Карась,"1,8","17,7","0,0","87,0"
Карп,"5,3","16,0","0,0","112,0"
Карп жареный,"10,5","18,5","3,2","181,0"
Кета,"5,6","19,0","0,0","127,0"
"Кета натуральная, консервы","4,8","21,5","0,0","129,0"
Кета соленая,"9,6","24,3","0,0","184,0"
Кефаль свежая,"1,2","18,3","0,8","87,0"
Креветки свежие,"2,0","20,0","1,0","106,0"
Лещ,"14,0","19,0","0,0","205,0"
Масляная рыба свежая,"8,0","17,0","0,0","146,0"
Мидии,"2,0","11,5","3,3","77,0"
Минтай,"0,0","20,0","0,0","89,0"
Навага,"1,6","19,2","0,0","91,0"
Навага жареная,"8,3","18,3","4,8","169,0"
Нерка красная,"8,4","20,3","0,0","157,0"
"Нерка натуральная, консервы","3,5","19,5","0,0","109,0"
Окунь речной,"11,9","17,8","0,0","179,0"
Осетр свежий,"4,0","16,0","0,0","105,0"
Осьминог свежий,"1,0","15,0","2,0","82,0"
Палтус белокорый,"0,5","17,2","0,0","73,0"
Путассу,"0,7","20,5","0,3","90,0"
Раки речные,"1,0","15,5","1,2","76,0"
Раки речные вареные,"1,3","20,3","1,0","97,0"
Сазан,"2,0","38,0","0,0","178,0"
Салака,"6,3","17,0","0,0","125,0"
Салака горячего копчения,"8,5","17,0","0,0","145,0"
Сельдь рубленая,"15,0","14,0","0,0","191,0"
Семга свежая,"13,0","20,0","0,0","208,0"
Семга соленая потрошенная с головой,"12,5","22,5","0,0","202,0"
Сибасс свежий,"2,0","18,0","0,0","97,0"
Сиг свежий,"6,0","19,0","0,0","134,0"
Скумбрия атлантическая,"6,4","23,4","0,0","150,0"
"Скумбрия в масле, консервы","28,9","14,4","0,0","318,0"
Солянка рыбная,"1,2","2,4","1,2","25,0"
Сом,"5,1","17,2","0,0","115,0"
"Сом в томатном соусе, консервы","6,0","13,7","8,7","144,0"
Теша осетровая холодного копчения,"25,7","17,6","0,0","302,0"
Тиляпия свежая,"2,0","20,0","0,0","96,0"
Треска,"5,1","9,7","3,9","101,0"
Тунец,"5,0","23,0","0,0","144,0"
Угорь,"11,8","37,0","0,0","264,0"
Форель морская свежая,"1,9","11,8","7,6","95,0"
Хек,"2,2","16,6","0,0","86,0"
Хек припущенный,"2,4","17,8","0,0","91,0"
Чавыча,"0,4","5,0","53,0","242,0"
Айва,"0,5","0,6","9,6","48,0"
Алыча,"0,1","0,2","7,9","34,0"
Ананас,"0,6","2,8","66,9","255,0"
Апельсин,"0,2","0,9","8,1","43,0"
Апельсин с сахаром,"0,2","0,7","28,7","122,0"
Банан,"0,3","0,4","68,2","265,0"
Вишня,"0,2","0,8","10,6","52,0"
Вишня с сахаром,"0,4","0,7","21,7","97,0"
Гранат,"0,6","0,7","14,5","72,0"
Грейпфрут,"0,2","0,7","6,5","35,0"
Грейпфрут с сахаром,"0,2","0,5","28,1","120,0"
Груша,"0,3","0,4","10,3","47,0"
Груша сушеная,"0,6","2,3","62,6","270,0"
Джем из абрикосов,"0,0","0,5","71,6","276,0"
Джем мандариновый,"0,0","0,3","71,8","276,0"
Изюм,"0,0","3,0","79,0","299,0"
Инжир,"0,2","0,7","12,0","54,0"
Инжир сушеный,"0,0","1,0","11,0","30,0"
Лимон,"0,1","0,9","3,0","34,0"
Лимон с сахаром,"0,1","0,6","38,7","169,0"
Манго,"1,0","0,0","18,0","73,0"
Мандарин,"0,2","0,8","7,5","38,0"
Нектарины,"0,0","2,0","15,0","63,0"
Папайя,"0,0","1,0","10,0","39,0"
Персик,"0,1","0,9","9,5","45,0"
Персик сушеный,"0,4","3,0","57,7","254,0"
Повидло яблочное,"0,0","0,4","65,0","250,0"
Помело,"0,0","1,0","8,0","33,0"
Пюре яблочное,"0,1","2,2","59,0","253,0"
Арбуз,"0,1","0,6","5,8","27,0"
Брусника,"0,5","0,7","8,2","46,0"
Варенье из клубники,"0,1","0,3","74,0","285,0"
Варенье из малины,"0,2","0,6","70,4","273,0"
Виноград,"0,5","2,3","65,8","281,0"
Голубика,"0,1","0,6","72,9","284,0"
Дыня,"0,3","0,6","7,4","35,0"
Ежевика,"0,5","1,5","4,4","34,0"
Земляника (садовая),"0,4","0,8","7,5","41,0"
Клубника,"0,3","0,7","7,7","32,0"
Клюква,"0,2","0,5","3,7","28,0"
Крыжовник,"0,2","0,7","9,1","45,0"
Малина,"0,5","0,8","8,3","46,0"
Малина с молоком,"1,8","1,8","12,7","76,0"
Морошка,"0,9","0,8","7,4","40,0"
Облепиха,"5,4","1,2","5,7","82,0"
Смородина белая,"0,2","0,5","8,0","42,0"
Смородина красная,"0,2","0,6","7,7","43,0"
Смородина черная,"0,4","1,0","7,3","44,0"
Суп-пюре из малины,"0,1","0,2","11,2","48,0"
Тыква,"0,1","1,0","4,4","23,0"
Черника,"0,6","1,1","7,6","44,0"
Шиповник,"1,4","3,4","48,3","284,0"
Белок,"0,0","11,1","1,0","48,0"
Белок сухой,"1,8","82,4","1,2","350,0"
Желток,"11,5","12,7","0,7","157,0"
Омлет из яичного порошка,"17,0","10,3","1,6","200,0"
Перепелиное яйцо целое,"13,1","11,9","0,6","168,0"
Салат яичный,"18,8","7,6","3,1","213,0"
Яичница глазунья,"20,9","12,9","0,9","243,0"
Яичный порошок,"37,3","46,0","4,5","542,0"
Яйцо отварное,"11,5","12,7","0,7","157,0"
Яйцо под майонезом,"24,5","4,1","4,7","256,0"